Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA,Form Score (Last 5),Home Strength,Away Strength,Goal Per Point,Attacking Strenght,Defense Strength,Normalized Power Score
1,Liverpool FC,26,18,1,61,62,26,36,130.08,12,9,1,26,10,14,9,0,36,16,2.3461538461538463,0.75,0.6428571428571429,0.9838709677419355,2.3846153846153846,1.0,1.8514499592075744
2,Arsenal FC,26,15,3,53,51,23,28,105.23,13,8,1,27,11,13,7,2,24,12,2.0384615384615383,0.6153846153846154,0.5384615384615384,1.0392156862745099,1.9615384615384615,0.8846153846153846,1.3798142867254037
3,Nottingham Forest FC,25,14,6,47,41,29,12,70.8,12,7,2,22,10,13,7,4,19,19,1.88,0.5833333333333334,0.5384615384615384,1.146341463414634,1.64,1.16,0.7263568942279738
4,Manchester City FC,25,13,7,44,52,35,17,77.6,12,8,2,28,15,13,5,5,24,20,1.76,0.6666666666666666,0.38461538461538464,0.8461538461538461,2.08,1.4,0.8554161526939198
5,AFC Bournemouth,26,12,7,43,44,30,14,67.62,13,6,4,17,10,13,6,3,27,20,1.6538461538461537,0.46153846153846156,0.46153846153846156,0.9772727272727273,1.6923076923076923,1.1538461538461537,0.6660027115924285
6,Chelsea FC,26,12,7,43,48,36,12,63.62,12,6,2,22,15,14,6,5,26,21,1.6538461538461537,0.5,0.42857142857142855,0.8958333333333334,1.8461538461538463,1.3846153846153846,0.5900855007301072
7,Aston Villa FC,27,11,7,42,39,41,-2,31.93,15,7,1,25,18,12,4,6,14,23,1.5555555555555556,0.4666666666666667,0.3333333333333333,1.0769230769230769,1.4444444444444444,1.5185185185185186,-0.011368602326632537
8,Newcastle United FC,25,12,8,41,42,33,9,58.4,12,6,4,20,14,13,6,4,22,19,1.64,0.5,0.46153846153846156,0.9761904761904762,1.68,1.32,0.4910135405547781
9,Brighton & Hove Albion FC,26,10,6,40,42,38,4,42.62,12,4,2,17,14,14,6,4,25,24,1.5384615384615385,0.3333333333333333,0.42857142857142855,0.9523809523809523,1.6153846153846154,1.4615384615384615,0.19152014370292086
10,Fulham FC,26,10,7,39,38,35,3,40.23,14,5,4,20,21,12,5,3,18,14,1.5,0.35714285714285715,0.4166666666666667,1.0263157894736843,1.4615384615384615,1.3461538461538463,0.14615961021268392
11,Brentford FC,26,11,11,37,47,42,5,45.38,13,7,4,29,25,13,4,7,18,17,1.4230769230769231,0.5384615384615384,0.3076923076923077,0.7872340425531915,1.8076923076923077,1.6153846153846154,0.2439030191979226
12,Tottenham Hotspur FC,26,10,13,33,53,38,15,61.92,13,5,6,28,23,13,5,7,25,15,1.2692307692307692,0.38461538461538464,0.38461538461538464,0.6226415094339622,2.0384615384615383,1.4615384615384615,0.5578206861136208
13,Crystal Palace FC,26,8,9,33,31,32,-1,26.08,13,2,6,12,21,13,6,3,19,11,1.2692307692307692,0.15384615384615385,0.46153846153846156,1.064516129032258,1.1923076923076923,1.2307692307692308,-0.12239752321277733
14,Everton FC,26,7,9,31,29,33,-4,17.38,14,4,4,20,17,12,3,5,9,16,1.1923076923076923,0.2857142857142857,0.25,1.0689655172413792,1.1153846153846154,1.2692307692307692,-0.28751745683832597
15,Manchester United FC,26,8,12,30,30,37,-7,12.92,13,5,7,17,22,13,3,5,13,15,1.1538461538461537,0.38461538461538464,0.23076923076923078,1.0,1.1538461538461537,1.4230769230769231,-0.37216514694981406
16,West Ham United FC,26,8,12,30,30,47,-17,-7.08,13,4,7,16,27,13,4,5,14,20,1.1538461538461537,0.3076923076923077,0.3076923076923077,1.0,1.1538461538461537,1.8076923076923077,-0.7517512012614201
17,Wolverhampton Wanderers FC,26,6,16,22,36,54,-18,-16.0,12,3,8,16,24,14,3,8,20,30,0.8461538461538461,0.25,0.21428571428571427,0.6111111111111112,1.3846153846153846,2.076923076923077,-0.9210465814843964
18,Ipswich Town FC,26,3,15,17,24,54,-30,-47.69,14,1,9,10,30,12,2,6,14,24,0.6538461538461539,0.07142857142857142,0.16666666666666666,0.7083333333333334,0.9230769230769231,2.076923076923077,-1.5225006845411362
19,Leicester City FC,26,4,17,17,25,59,-34,-53.77,14,2,9,11,27,12,2,8,14,32,0.6538461538461539,0.14285714285714285,0.16666666666666666,0.68,0.9615384615384616,2.269230769230769,-1.6378948450518647
20,Southampton FC,26,2,21,9,19,61,-42,-76.69,13,1,11,9,37,13,1,10,10,24,0.34615384615384615,0.07692307692307693,0.07692307692307693,0.47368421052631576,0.7307692307692307,2.3461538461538463,-2.072900463292965
