Matchday,Date,Home Team,Away Team,Home Score,Away Score
7,2024-10-06T18:45:00Z,ACF Fiorentina,AC Milan,2.0,1.0
8,2024-10-19T13:00:00Z,Como 1907,Parma Calcio 1913,1.0,1.0
8,2024-10-19T13:00:00Z,Genoa CFC,Bologna FC 1909,2.0,2.0
8,2024-10-19T16:00:00Z,AC Milan,Udinese Calcio,1.0,0.0
8,2024-10-19T18:45:00Z,Juventus FC,SS Lazio,1.0,0.0
8,2024-10-20T10:30:00Z,Empoli FC,SSC Napoli,0.0,1.0
8,2024-10-20T13:00:00Z,US Lecce,ACF Fiorentina,0.0,6.0
8,2024-10-20T13:00:00Z,Venezia FC,Atalanta BC,0.0,2.0
8,2024-10-20T16:00:00Z,Cagliari Calcio,Torino FC,3.0,2.0
8,2024-10-20T18:45:00Z,AS Roma,FC Internazionale Milano,0.0,1.0
8,2024-10-21T18:45:00Z,Hellas Verona FC,AC Monza,0.0,3.0
9,2024-10-25T16:30:00Z,Udinese Calcio,Cagliari Calcio,2.0,0.0
9,2024-10-25T18:45:00Z,Torino FC,Como 1907,1.0,0.0
9,2024-10-26T13:00:00Z,SSC Napoli,US Lecce,1.0,0.0
9,2024-10-26T18:45:00Z,Atalanta BC,Hellas Verona FC,6.0,1.0
9,2024-10-27T11:30:00Z,Parma Calcio 1913,Empoli FC,1.0,1.0
9,2024-10-27T14:00:00Z,SS Lazio,Genoa CFC,3.0,0.0
9,2024-10-27T14:00:00Z,AC Monza,Venezia FC,2.0,2.0
9,2024-10-27T17:00:00Z,FC Internazionale Milano,Juventus FC,4.0,4.0
9,2024-10-27T19:45:00Z,ACF Fiorentina,AS Roma,5.0,1.0
10,2024-10-29T17:30:00Z,Cagliari Calcio,Bologna FC 1909,0.0,2.0
10,2024-10-29T17:30:00Z,US Lecce,Hellas Verona FC,1.0,0.0
10,2024-10-29T19:45:00Z,AC Milan,SSC Napoli,0.0,2.0
10,2024-10-30T17:30:00Z,Empoli FC,FC Internazionale Milano,0.0,3.0
10,2024-10-30T17:30:00Z,Venezia FC,Udinese Calcio,3.0,2.0
10,2024-10-30T19:45:00Z,Atalanta BC,AC Monza,2.0,0.0
10,2024-10-30T19:45:00Z,Juventus FC,Parma Calcio 1913,2.0,2.0
10,2024-10-31T17:30:00Z,Genoa CFC,ACF Fiorentina,0.0,1.0
10,2024-10-31T19:45:00Z,Como 1907,SS Lazio,1.0,5.0
10,2024-10-31T19:45:00Z,AS Roma,Torino FC,1.0,0.0
11,2024-11-02T14:00:00Z,Bologna FC 1909,US Lecce,1.0,0.0
11,2024-11-02T17:00:00Z,Udinese Calcio,Juventus FC,0.0,2.0
11,2024-11-02T19:45:00Z,AC Monza,AC Milan,0.0,1.0
