Matchday,Date,Home Team,Away Team,Home Score,Away Score
9,2024-10-20T12:30:00Z,FC Groningen,FC Utrecht,0.0,1.0
9,2024-10-20T12:30:00Z,Heracles Almelo,AFC Ajax,3.0,4.0
9,2024-10-20T14:45:00Z,PEC Zwolle,NAC Breda,1.0,2.0
10,2024-10-25T18:00:00Z,Almere City FC,NEC,1.0,0.0
10,2024-10-26T14:30:00Z,Fortuna Sittard,FC Groningen,1.0,0.0
10,2024-10-26T16:45:00Z,PSV,PEC Zwolle,6.0,0.0
10,2024-10-26T18:00:00Z,NAC Breda,RKC Waalwijk,4.0,1.0
10,2024-10-26T19:00:00Z,SC Heerenveen,Sparta Rotterdam,2.0,0.0
10,2024-10-27T11:15:00Z,FC Utrecht,Feyenoord Rotterdam,0.0,2.0
10,2024-10-27T13:30:00Z,FC Twente '65,Heracles Almelo,5.0,0.0
10,2024-10-27T15:45:00Z,AFC Ajax,Willem II Tilburg,1.0,0.0
10,2024-10-27T19:00:00Z,AZ,Go Ahead Eagles,2.0,2.0
4,2024-10-30T17:00:00Z,Feyenoord Rotterdam,AFC Ajax,0.0,2.0
11,2024-11-02T15:30:00Z,Willem II Tilburg,FC Twente '65,0.0,1.0
11,2024-11-02T17:45:00Z,Heracles Almelo,NAC Breda,2.0,0.0
11,2024-11-02T17:45:00Z,AFC Ajax,PSV,3.0,2.0
11,2024-11-02T20:00:00Z,Feyenoord Rotterdam,AZ,3.0,2.0
11,2024-11-02T20:00:00Z,Fortuna Sittard,SC Heerenveen,3.0,0.0
11,2024-11-03T11:15:00Z,Go Ahead Eagles,PEC Zwolle,2.0,2.0
11,2024-11-03T13:30:00Z,NEC,FC Groningen,6.0,0.0
11,2024-11-03T13:30:00Z,Sparta Rotterdam,FC Utrecht,1.0,4.0
11,2024-11-03T15:45:00Z,RKC Waalwijk,Almere City FC,2.0,0.0
12,2024-11-08T19:00:00Z,FC Utrecht,Heracles Almelo,1.0,0.0
12,2024-11-09T15:30:00Z,FC Groningen,Sparta Rotterdam,1.0,0.0
12,2024-11-09T17:45:00Z,PEC Zwolle,Fortuna Sittard,3.0,1.0
12,2024-11-09T19:00:00Z,NAC Breda,PSV,0.0,3.0
12,2024-11-09T20:00:00Z,RKC Waalwijk,NEC,0.0,3.0
12,2024-11-10T11:15:00Z,Almere City FC,Feyenoord Rotterdam,1.0,4.0
12,2024-11-10T13:30:00Z,SC Heerenveen,Go Ahead Eagles,1.0,0.0
12,2024-11-10T13:30:00Z,FC Twente '65,AFC Ajax,2.0,2.0
12,2024-11-10T15:45:00Z,AZ,Willem II Tilburg,1.0,2.0
13,2024-11-23T15:30:00Z,Go Ahead Eagles,Almere City FC,3.0,0.0
13,2024-11-23T17:45:00Z,Feyenoord Rotterdam,SC Heerenveen,3.0,0.0
13,2024-11-23T17:45:00Z,Heracles Almelo,RKC Waalwijk,2.0,2.0
13,2024-11-23T20:00:00Z,PSV,FC Groningen,5.0,0.0
13,2024-11-23T20:00:00Z,Fortuna Sittard,FC Twente '65,1.0,2.0
13,2024-11-24T11:15:00Z,NEC,FC Utrecht,1.0,2.0
13,2024-11-24T13:30:00Z,Sparta Rotterdam,AZ,1.0,2.0
13,2024-11-24T13:30:00Z,Willem II Tilburg,NAC Breda,2.0,2.0
13,2024-11-24T15:45:00Z,AFC Ajax,PEC Zwolle,2.0,0.0
14,2024-11-29T19:00:00Z,SC Heerenveen,RKC Waalwijk,1.0,1.0
14,2024-11-30T15:30:00Z,NAC Breda,Almere City FC,1.0,0.0
14,2024-11-30T17:45:00Z,FC Groningen,Willem II Tilburg,2.0,0.0
14,2024-11-30T19:00:00Z,Feyenoord Rotterdam,Fortuna Sittard,1.0,1.0
14,2024-11-30T20:00:00Z,PEC Zwolle,Sparta Rotterdam,1.0,0.0
14,2024-12-01T11:15:00Z,FC Utrecht,PSV,2.0,5.0
14,2024-12-01T13:30:00Z,AZ,Heracles Almelo,1.0,0.0
14,2024-12-01T13:30:00Z,FC Twente '65,Go Ahead Eagles,3.0,2.0
14,2024-12-01T15:45:00Z,NEC,AFC Ajax,1.0,2.0
5,2024-12-04T19:00:00Z,AFC Ajax,FC Utrecht,2.0,2.0
15,2024-12-06T19:00:00Z,PSV,FC Twente '65,6.0,1.0
15,2024-12-07T15:30:00Z,Go Ahead Eagles,NEC,5.0,0.0
15,2024-12-07T17:45:00Z,Sparta Rotterdam,NAC Breda,0.0,2.0
15,2024-12-07T19:00:00Z,RKC Waalwijk,Feyenoord Rotterdam,2.0,3.0
15,2024-12-07T20:00:00Z,Heracles Almelo,Fortuna Sittard,2.0,2.0
15,2024-12-08T11:15:00Z,FC Groningen,PEC Zwolle,0.0,0.0
15,2024-12-08T13:30:00Z,AZ,AFC Ajax,2.0,1.0
15,2024-12-08T13:30:00Z,Willem II Tilburg,SC Heerenveen,1.0,2.0
15,2024-12-08T15:45:00Z,Almere City FC,FC Utrecht,1.0,3.0
16,2024-12-13T19:00:00Z,PEC Zwolle,Willem II Tilburg,0.0,1.0
16,2024-12-14T17:45:00Z,SC Heerenveen,PSV,1.0,0.0
16,2024-12-14T19:00:00Z,Fortuna Sittard,RKC Waalwijk,3.0,2.0
